schema_version,case_id,mechanism,run_seed,producer_algorithm,producer_precision,producer_iterations,producer_converged,epsilon_requested,epsilon_used,epsilon_used_hex,condition_estimate,candidate_v0_hex,candidate_v1_hex,producer_residual_inf,producer_residual_threshold,declared_tube_radius,oracle_method,oracle_root_v0,oracle_root_v1,oracle_root_in_tube,oracle_forward_error_inf,checker_method,checker_verdict,checker_inclusion_margin,checker_reason,false_accept
2,gmin_1e-11_float64,weak_conductance_residual_early_stop,17,residual_stopped_diagonal_newton,float64,0,true,1e-11,9.9999999999999994e-12,0x1.5fd7fe1796495p-37,100000000000,0x1.0000000000000p+0,0x0.0p+0,9.9999999999999994e-12,1.0000000000000001e-05,0.001,exact_fraction_on_declared_binary_system,1,1,false,1,pointwise_krawczyk_midpoint_inverse,UNKNOWN,-0.999,strict Krawczyk inclusion was not established,false
2,gmin_1e-12_float32,weak_conductance_residual_early_stop,17,residual_stopped_diagonal_newton,float32,0,true,1e-12,9.999999960041972e-13,0x1.1979980000000p-40,1000000003995.8029,0x1.0000000000000p+0,0x0.0p+0,9.999999960041972e-13,9.9999997473787516e-06,0.001,exact_fraction_on_declared_binary_system,1,1,false,1,pointwise_krawczyk_midpoint_inverse,UNKNOWN,-0.999,strict Krawczyk inclusion was not established,false
2,gmin_1e-12_float64,weak_conductance_residual_early_stop,17,residual_stopped_diagonal_newton,float64,0,true,1e-12,9.9999999999999998e-13,0x1.19799812dea11p-40,1000000000000,0x1.0000000000000p+0,0x0.0p+0,9.9999999999999998e-13,1.0000000000000001e-05,0.001,exact_fraction_on_declared_binary_system,1,1,false,1,pointwise_krawczyk_midpoint_inverse,UNKNOWN,-0.999,strict Krawczyk inclusion was not established,false
2,gmin_1e-13_float32,weak_conductance_residual_early_stop,17,residual_stopped_diagonal_newton,float32,0,true,1e-13,9.9999998245167004e-14,0x1.c25c260000000p-44,10000000175483.303,0x1.0000000000000p+0,0x0.0p+0,9.9999998245167004e-14,9.9999997473787516e-06,0.001,exact_fraction_on_declared_binary_system,1,1,false,1,pointwise_krawczyk_midpoint_inverse,UNKNOWN,-0.999,strict Krawczyk inclusion was not established,false
2,gmin_1e-13_float64,weak_conductance_residual_early_stop,17,residual_stopped_diagonal_newton,float64,0,true,1e-13,1e-13,0x1.c25c268497682p-44,10000000000000,0x1.0000000000000p+0,0x0.0p+0,1e-13,1.0000000000000001e-05,0.001,exact_fraction_on_declared_binary_system,1,1,false,1,pointwise_krawczyk_midpoint_inverse,UNKNOWN,-0.999,strict Krawczyk inclusion was not established,false
2,gmin_1e-14_float32,weak_conductance_residual_early_stop,17,residual_stopped_diagonal_newton,float32,0,true,1e-14,9.9999998245167004e-15,0x1.6849b80000000p-47,100000001754833.03,0x1.0000000000000p+0,0x0.0p+0,9.9999998245167004e-15,9.9999997473787516e-06,0.001,exact_fraction_on_declared_binary_system,1,1,false,1,pointwise_krawczyk_midpoint_inverse,UNKNOWN,-0.999,strict Krawczyk inclusion was not established,false
2,gmin_1e-14_float64,weak_conductance_residual_early_stop,17,residual_stopped_diagonal_newton,float64,0,true,1e-14,1e-14,0x1.6849b86a12b9bp-47,100000000000000,0x1.0000000000000p+0,0x0.0p+0,1e-14,1.0000000000000001e-05,0.001,exact_fraction_on_declared_binary_system,1,1,false,1,pointwise_krawczyk_midpoint_inverse,UNKNOWN,-0.999,strict Krawczyk inclusion was not established,false
2,gmin_1e-15_float32,weak_conductance_residual_early_stop,17,residual_stopped_diagonal_newton,float32,0,true,1e-15,1.0000000036274937e-15,0x1.203afa0000000p-50,999999996372506.25,0x1.0000000000000p+0,0x0.0p+0,1.0000000036274937e-15,9.9999997473787516e-06,0.001,exact_fraction_on_declared_binary_system,1,1,false,1,pointwise_krawczyk_midpoint_inverse,UNKNOWN,-0.999,strict Krawczyk inclusion was not established,false
2,gmin_1e-15_float64,weak_conductance_residual_early_stop,17,residual_stopped_diagonal_newton,float64,0,true,1e-15,1.0000000000000001e-15,0x1.203af9ee75616p-50,999999999999999.88,0x1.0000000000000p+0,0x0.0p+0,1.0000000000000001e-15,1.0000000000000001e-05,0.001,exact_fraction_on_declared_binary_system,1,1,false,1,pointwise_krawczyk_midpoint_inverse,UNKNOWN,-0.999,strict Krawczyk inclusion was not established,false
2,gmin_1e-16_float32,weak_conductance_residual_early_stop,17,residual_stopped_diagonal_newton,float32,0,true,1e-16,1.0000000168623835e-16,0x1.cd2b2a0000000p-54,9999999831376168,0x1.0000000000000p+0,0x0.0p+0,1.0000000168623835e-16,9.9999997473787516e-06,0.001,exact_fraction_on_declared_binary_system,1,1,false,1,pointwise_krawczyk_midpoint_inverse,UNKNOWN,-0.999,strict Krawczyk inclusion was not established,false
2,gmin_1e-16_float64,weak_conductance_residual_early_stop,17,residual_stopped_diagonal_newton,float64,0,true,1e-16,9.9999999999999998e-17,0x1.cd2b297d889bcp-54,10000000000000000,0x1.0000000000000p+0,0x0.0p+0,9.9999999999999998e-17,1.0000000000000001e-05,0.001,exact_fraction_on_declared_binary_system,1,1,false,1,pointwise_krawczyk_midpoint_inverse,UNKNOWN,-0.999,strict Krawczyk inclusion was not established,false
