schema_version,circuit_id,instance,producer_precision,producer_tolerance,radius_multiplier,tube_rule,step_size,steps_requested,steps_completed,producer_converged_steps,producer_failed_steps,producer_total_iterations,maximum_scaled_residual,maximum_reference_error_inf,final_reference_error_inf,test_reference,test_reference_in_tube_steps,eligible_reference_excluding_accepts,detached_reference_accepts,checker_accept,checker_unknown,checker_unsupported,certified_reference_containing_prefix,acceptance_rate,minimum_inclusion_margin,maximum_tube_radius,producer_seconds,tube_seconds,checker_seconds,reference_generation_seconds,end_to_end_seconds,trace_failure_code
1,diode_rc,nominal,float32,0.01,0.25,residual-local-inverse-jacobian-frozen-radius-v1,1.0000000000000001e-05,100,100,100,0,0,0.0068627446889877319,0.4411791811266863,0.4411791811266863,Decimal-160 high-precision test reference (non-rigorous),0,0,0,0,100,0,0,0,-0.006913520734157407,0.0017344058467945046,0.0071998190001067996,0.015353920000961807,0.77969178799912697,13.080005110999991,13.882250638000187,
1,diode_rc,nominal,float32,0.01,1,residual-local-inverse-jacobian-frozen-radius-v1,1.0000000000000001e-05,100,100,100,0,0,0.0068627446889877319,0.4411791811266863,0.4411791811266863,Decimal-160 high-precision test reference (non-rigorous),1,0,0,1,99,0,1,0.01,-0.0068620037287922767,0.0069376233871780183,0.00840375900043,0.018605201999434939,0.92505568399747062,13.080005110999991,14.032069755997327,
1,diode_rc,nominal,float32,0.01,4,residual-local-inverse-jacobian-frozen-radius-v1,1.0000000000000001e-05,100,100,100,0,0,0.0068627446889877319,0.4411791811266863,0.4411791811266863,Decimal-160 high-precision test reference (non-rigorous),4,0,0,1,99,0,1,0.01,-0.0066559357073605399,0.027750493548712073,0.0066821169998547703,0.014732412000739714,0.66536693400212243,13.080005110999991,13.766786574002708,
1,diode_rc,nominal,float32,0.01,16,residual-local-inverse-jacobian-frozen-radius-v1,1.0000000000000001e-05,100,100,100,0,0,0.0068627446889877319,0.4411791811266863,0.4411791811266863,Decimal-160 high-precision test reference (non-rigorous),17,0,0,1,99,0,1,0.01,-0.0058316636210090644,0.11100197419484829,0.0068573889993785997,0.014460339999459393,0.62754522799832557,13.080005110999991,13.728868067997155,
1,diode_rc,nominal,float32,0.0001,0.25,residual-local-inverse-jacobian-frozen-radius-v1,1.0000000000000001e-05,100,100,100,0,100,2.5249656587789104e-08,1.5399065378396415e-07,1.5399065378396415e-07,Decimal-160 high-precision test reference (non-rigorous),94,0,0,1,99,0,1,0.01,-2.4011824972802742e-08,1.1920928955078125e-07,0.013820003000546421,0.013281106999329495,0.65606765499933317,13.080005110999991,13.7631738759992,
1,diode_rc,nominal,float32,0.0001,1,residual-local-inverse-jacobian-frozen-radius-v1,1.0000000000000001e-05,100,100,100,0,100,2.5249656587789104e-08,1.5399065378396415e-07,1.5399065378396415e-07,Decimal-160 high-precision test reference (non-rigorous),100,0,0,9,91,0,1,0.089999999999999997,-2.0435933445472898e-08,4.76837158203125e-07,0.0141393709982367,0.014198264999777166,0.66168316199900801,13.080005110999991,13.770025908997013,
1,diode_rc,nominal,float32,0.0001,4,residual-local-inverse-jacobian-frozen-radius-v1,1.0000000000000001e-05,100,100,100,0,100,2.5249656587789104e-08,1.5399065378396415e-07,1.5399065378396415e-07,Decimal-160 high-precision test reference (non-rigorous),100,0,0,71,29,0,1,0.70999999999999996,-6.1323772171384405e-09,1.9073486328125e-06,0.013630756999191362,0.015560555999400094,0.61473222899940083,13.080005110999991,13.723928652997984,
1,diode_rc,nominal,float32,0.0001,16,residual-local-inverse-jacobian-frozen-radius-v1,1.0000000000000001e-05,100,100,100,0,100,2.5249656587789104e-08,1.5399065378396415e-07,1.5399065378396415e-07,Decimal-160 high-precision test reference (non-rigorous),100,0,0,99,1,0,26,0.98999999999999999,-1.0782320782748434e-11,7.62939453125e-06,0.013301806000526994,0.013653375997364492,0.61070339599609724,13.080005110999991,13.71766368899398,
1,diode_rc,nominal,float32,9.9999999999999995e-07,0.25,residual-local-inverse-jacobian-frozen-radius-v1,1.0000000000000001e-05,100,100,100,0,100,2.5249656587789104e-08,1.5399065378396415e-07,1.5399065378396415e-07,Decimal-160 high-precision test reference (non-rigorous),94,0,0,1,99,0,1,0.01,-2.4011824972802742e-08,1.1920928955078125e-07,0.01432388900548176,0.013874083001610416,0.65642855300302472,13.080005110999991,13.764631636010108,
1,diode_rc,nominal,float32,9.9999999999999995e-07,1,residual-local-inverse-jacobian-frozen-radius-v1,1.0000000000000001e-05,100,100,100,0,100,2.5249656587789104e-08,1.5399065378396415e-07,1.5399065378396415e-07,Decimal-160 high-precision test reference (non-rigorous),100,0,0,9,91,0,1,0.089999999999999997,-2.0435933445472898e-08,4.76837158203125e-07,0.015109547999145434,0.016988209003557131,0.76202842699967732,13.080005110999991,13.874131295002371,
