replicate,positive_headroom_ratio,oracle_capture_at_budget,oracle_primary_reduction_ratio,oracle_absrel_relative_degradation,uniform_primary_reduction_ratio,rgb_gradient_capture_at_budget,base_gradient_capture_at_budget,combined_gradient_capture_at_budget
0,0.1058552060984131,0.9173949378597597,0.09711103022078575,-0.10079722039544306,0.08626705336037316,0.5228735329025732,0.7796719252393759,0.6681299171304722
1,0.10548814506794953,0.8994898863750951,0.09488551962108946,-0.11926091534059192,0.09125495470681151,0.6239898503234855,0.7742326632105254,0.6861841629954163
2,0.10103287161399241,0.9659439951612184,0.09759209564943028,-0.08436111547982235,0.08490788062558813,0.7103381213704841,0.8163682685552096,0.8348523842981725
3,0.11104735538159106,0.9113164184093321,0.10119927818017983,-0.12035804821206633,0.0928287762050779,0.658641433510357,0.8003428258706201,0.7413725359210463
4,0.09908803645898172,0.9339787771554622,0.0925461231226956,-0.08071622226853493,0.08725902914069933,0.4915694728530729,0.6250330322276891,0.7156838159705532
5,0.06605597196633628,0.9160287765555334,0.06050917118450963,-0.058027956419374645,0.05515533749537143,0.5942997825353503,0.740758854224167,0.735228998521167
6,0.10332323381368172,0.9321285116848104,0.09631053215720882,-0.08462106891923528,0.09136727734284496,0.4839186447177731,0.7021916398962159,0.6944221401732579
7,0.10749195143530339,0.9178900122182253,0.0986657886163115,-0.10337903518129339,0.08783515246386517,0.4789954459755983,0.706342611400199,0.6407483164973291
8,0.1089699779303241,0.9162756815668508,0.09984654079843241,-0.09935655137450389,0.09372787823171204,0.39461589876559977,0.6888911615585339,0.5933848999023409
9,0.08451912925611449,0.9293939221163536,0.0785515650331993,-0.08432993332724638,0.06273193235274978,0.7742265411488392,0.8480113656327167,0.8340373809398357
10,0.12242915201621915,0.9300928466687759,0.11387047851400957,-0.11965172312183527,0.11396575633548714,0.6069744631173846,0.8145693314147124,0.7675940391674538
11,0.10711563342013251,0.9393384642385575,0.10061783459280758,-0.08499146236841332,0.09284248280575702,0.5883791897051689,0.7233660220241211,0.7643552257754603
12,0.09146820997498616,0.9621890375966,0.08800970892651566,-0.0840402776248174,0.07950508025412788,0.6853276565605313,0.7953506206126028,0.825735069399478
13,0.10193352394286447,0.8807994248056991,0.08978298925729297,-0.10141334177933098,0.08626850763463792,0.582585022130977,0.7161533733115283,0.6675983248609075
14,0.08916644154486864,0.9476927376426089,0.08450238909350621,-0.07841350137411661,0.07219061338870877,0.5917470989933583,0.7459139876883311,0.7478983354821702
15,0.10143159376026537,0.9047987601871875,0.09177518027809857,-0.11766652121526719,0.09067618878933911,0.6295425153582705,0.7780032485398976,0.7270952198556756
16,0.11080705372710338,0.9488665020851387,0.1051411014763966,-0.09914562018364075,0.09770796897539252,0.5594090179683259,0.7031215055389157,0.7609073302536303
17,0.060173535339195505,0.9582857687954421,0.05766344257366067,-0.049924549934000466,0.03582005158696322,0.4613543909641865,0.8393096414950542,0.5981965552197843
18,0.11776340929240492,0.943663378938848,0.11112901672822936,-0.12134797230248544,0.09093149697141312,0.6851427447869837,0.8295575827901336,0.7646185016327728
19,0.08256751124078343,0.9349762081846591,0.07719865857915191,-0.06694416412987124,0.05212639965050078,0.4950326113490795,0.6591112411643673,0.6437568861144564
20,0.09557682092971312,0.9397217129383102,0.08981561388126814,-0.07681912461919835,0.07628419977066292,0.593658423981822,0.8160615232716415,0.6680946075937797
21,0.06629853235820757,0.9010585567443204,0.059738859880953135,-0.053983004987339635,0.04046327595655749,0.484058942392545,0.70743434094442,0.6387004985622143
22,0.11825775563401641,0.9687323449165928,0.11456011291991414,-0.10343780505450834,0.09445792916004382,0.6025938105992322,0.7366433073322363,0.7676778608754677
23,0.11225766394627322,0.9082027444779472,0.10195271848468844,-0.09934584269409864,0.09396360901677228,0.4398865168578737,0.6672570898162753,0.6356537768731642
24,0.10961461742348708,0.8969430441014404,0.09831806862983729,-0.12246670354578089,0.0998035075539545,0.6429968987729782,0.7705142704312173,0.7119333254655911
25,0.1157226562432274,0.9255773698940863,0.10711027180276389,-0.11676012978319669,0.1083557452434152,0.6487581422955672,0.7555600378944746,0.7847317565850224
26,0.11871819121222536,0.881532227637783,0.1046539115604413,-0.11963285013585799,0.10362088841176333,0.49294965442557376,0.7039084470309905,0.6218768998792038
