sample_index,domain,scene_id,scan_id,image_relpath,input_size,target_height,target_width,valid_pixel_count,boundary_pixel_count,weight_sum,base_primary_error_sum,primary_error_sum,primary_utility_sum,base_absrel_error_sum,absrel_error_sum,absrel_utility_sum,metric_scale,forward_milliseconds
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,518,518,686,786330,78633,1100862.0,263486.1422873223,263486.1422873223,0.0,171953.34478877822,171953.34478877822,0.0,0.05394610612827464,4711.577852256596
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,574,574,770,786330,78633,1100862.0,263486.1422873223,264703.9984188301,-1217.8561315077823,171953.34478877822,172260.50398902275,-307.159200244525,0.05308700720821734,797.0275636762381
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,630,630,840,786330,78633,1100862.0,263486.1422873223,257382.16345101304,6103.978836309281,171953.34478877822,166677.8689080699,5275.475880708313,0.05237156360297129,718.5826301574707
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,686,686,910,786330,78633,1100862.0,263486.1422873223,274140.8979571358,-10654.755669813487,171953.34478877822,179203.69039663184,-7250.345607853611,0.05372943490750247,2033.1626925617456
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,742,742,994,786330,78633,1100862.0,263486.1422873223,274460.611349587,-10974.46906226466,171953.34478877822,179726.90260952257,-7773.557820744347,0.05294223078181181,228.8804380223155
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,798,798,1064,786330,78633,1100862.0,263486.1422873223,270728.2318691851,-7242.0895818627905,171953.34478877822,175129.08614901197,-3175.7413602337474,0.05143199554311952,80.65606467425823
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,854,854,1134,786330,78633,1100862.0,263486.1422873223,271444.514265443,-7958.371978120704,171953.34478877822,176592.91717649065,-4639.572387712426,0.05294547625212021,762.091975659132
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,910,910,1218,786330,78633,1100862.0,263486.1422873223,272886.08831461327,-9399.94602729095,171953.34478877822,177637.11539953103,-5683.7706107528065,0.050460464509486415,116.64373148232698
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,966,966,1288,786330,78633,1100862.0,263486.1422873223,267365.0720330737,-3878.929745751375,171953.34478877822,172757.94821237563,-804.6034235974075,0.048892256671732554,646.8276968225837
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1022,1022,1358,786330,78633,1100862.0,263486.1422873223,273932.81221738586,-10446.669930063537,171953.34478877822,176634.82136183715,-4681.476573058928,0.051218633035561706,626.1737300083041
1,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040.png,518,518,686,786260,78626,1100764.0,432126.64092610043,432126.64092610043,0.0,291654.4314332884,291654.4314332884,0.0,0.052151903805318874,26.994324289262295
1,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040.png,574,574,770,786260,78626,1100764.0,432126.64092610043,418242.0929796889,13884.547946411534,291654.4314332884,278307.06088696537,13347.370546323014,0.05367670118434134,36.99007909744978
1,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040.png,630,630,840,786260,78626,1100764.0,432126.64092610043,436936.1977705312,-4809.556844430743,291654.4314332884,294505.1959238622,-2850.7644905738416,0.05051607118834011,46.31468001753092
1,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040.png,686,686,910,786260,78626,1100764.0,432126.64092610043,419926.3111417207,12200.329784379748,291654.4314332884,287874.3830373723,3780.048395916063,0.05246332063001989,53.976104594767094
1,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040.png,742,742,994,786260,78626,1100764.0,432126.64092610043,417941.97275786195,14184.66816823848,291654.4314332884,284314.67450049723,7339.756932791148,0.05106538813358713,59.64146554470062
1,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040.png,798,798,1064,786260,78626,1100764.0,432126.64092610043,439198.0015238384,-7071.360597737948,291654.4314332884,302920.7373855063,-11266.305952217896,0.04999574293298347,101.99789516627789
1,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040.png,854,854,1134,786260,78626,1100764.0,432126.64092610043,424081.56567364995,8045.075252450479,291654.4314332884,295476.64269504446,-3822.211261756078,0.049939948005417296,99.76579062640667
1,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040.png,910,910,1218,786260,78626,1100764.0,432126.64092610043,405962.31098559836,26164.329940502066,291654.4314332884,277404.2111464319,14250.220286856464,0.04876178702995559,146.4451625943184
1,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040.png,966,966,1288,786260,78626,1100764.0,432126.64092610043,418174.61308355123,13952.0278425492,291654.4314332884,290223.5501146687,1430.8813186197076,0.048518000499008396,144.0816791728139
1,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040.png,1022,1022,1358,786260,78626,1100764.0,432126.64092610043,376043.78624771675,56082.85467838368,291654.4314332884,265369.4943871435,26284.937046144856,0.050679503751595405,200.81796310842037
2,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,518,518,686,786083,78609,1100519.0,307378.82687525684,307378.82687525684,0.0,185116.31362167103,185116.31362167103,0.0,0.1697739195821687,50.66037829965353
2,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,574,574,770,786083,78609,1100519.0,307378.82687525684,322354.1647375815,-14975.337862324668,185116.31362167103,197336.43522726098,-12220.121605589957,0.16949013672541358,29.46289163082838
2,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,630,630,840,786083,78609,1100519.0,307378.82687525684,301157.8205103572,6221.006364899629,185116.31362167103,183805.45315026934,1310.8604714016838,0.16242893901064553,48.33334498107433
2,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,686,686,910,786083,78609,1100519.0,307378.82687525684,321758.01962581766,-14379.192750560818,185116.31362167103,199367.67928415124,-14251.36566248021,0.16212575763605724,65.9951763227582
2,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,742,742,994,786083,78609,1100519.0,307378.82687525684,317469.7905795534,-10090.963704296562,185116.31362167103,206945.901719829,-21829.588098157983,0.15288468329357585,60.75839139521122
