replicate,positive_headroom_ratio,oracle_capture_at_budget,oracle_primary_reduction_ratio,oracle_absrel_relative_degradation,uniform_primary_reduction_ratio,rgb_gradient_capture_at_budget,base_gradient_capture_at_budget,combined_gradient_capture_at_budget
128,0.2410533503579263,0.9307548743665062,0.2243615808280171,-0.30103569045488743,0.21565384516106534,0.7339099328847056,0.8817861479276208,0.8761748987572108
129,0.18272994975794887,0.9409881056331726,0.17194670926517713,-0.24569196816827846,0.16159615118464005,0.8339604939514905,0.9034437850944635,0.9069943042861212
130,0.17903309498493788,0.9468762633784917,0.16952218800042457,-0.25291835979576366,0.16554282330007214,0.9083684668387034,0.924855538948157,0.9269387635984611
131,0.17651184884429608,0.9381656369799604,0.1655973511055195,-0.23068310389354404,0.15213129762585445,0.8067024617011004,0.8898978303563125,0.8949091565052215
132,0.3360739989327277,0.8951636612378339,0.3008412313314604,-0.2880921904550728,0.17925490519520798,0.18711001498581245,0.7482131584480027,0.7490205608772537
133,0.1289054212819983,0.9506370001086378,0.12254226298525904,-0.17883513197903117,0.1010927495103879,0.8475024886535673,0.9024290388534354,0.9165737641233767
134,0.2237619475815984,0.9374597788414134,0.20976782589296916,-0.2959306396786542,0.19940284980403583,0.8098406524129566,0.9024739418343817,0.8994363167120266
135,0.06943277558860203,0.9518356583273037,0.06608859166186895,-0.08924897840932366,0.04116902119702456,0.8438353573940891,0.8122208509736238,0.8766258791563591
136,0.08529034797221985,0.9367723219359815,0.07989763730866421,-0.09825952041645933,0.05259036483954547,0.7069188847813769,0.7944829104604779,0.8450210767341002
137,0.21830901789813953,0.938525104038192,0.20488849373532692,-0.2909543853424688,0.19429229024099423,0.7980333006800527,0.9055773888835088,0.9024554793282401
138,0.4910217547848066,0.8879644526561491,0.43600986372975264,-0.38468576523143067,0.3389620254345752,0.21235593748765139,0.7177436100295018,0.6961699272881116
139,0.1674498212709996,0.9422222977234331,0.15777495535133945,-0.22691310098797307,0.14829174794805172,0.8560294121986078,0.9035301224344835,0.9124539247799609
140,0.14677484583297762,0.976558501271874,0.143334223471063,-0.1681032233006401,-0.14735969309431143,0.18627084985076334,0.848298364243498,0.6608867182899667
141,0.06510439487466098,0.9116481814764957,0.05935230319361237,-0.04262974903482374,0.011315717425500645,0.2601448161246138,0.6268729741977747,0.7093227660331349
142,0.1904755803248158,0.949586978395035,0.1808731307786826,-0.27578379606943443,0.170281023968035,0.8653169046853004,0.9376613035318939,0.9377742285875313
143,0.21237007859256302,0.9417846378959098,0.20000687756722288,-0.29189737071357486,0.1951493546989942,0.8585601507319315,0.9200743307259684,0.920210176875537
144,0.019598069774630206,0.9702342135308786,0.01901471781451162,-0.012486889519120019,-0.020305213616601706,0.4914118597811977,0.24002799603455308,0.49782509340523184
145,0.20420287532440146,0.9438812336645889,0.19274326187905227,-0.2235716323982372,-2.2707617876642034,0.058203336149604046,0.006622374227320044,0.05937142846336762
146,0.02165098496478429,0.9690444184843833,0.020980766134813516,-0.013488143698927965,-0.017871151379694274,0.49182276797996144,0.3242980228533324,0.49764666010330333
147,0.15994089389416763,0.93202651514716,0.14906915396570272,-0.19565512314726188,0.1267142485472325,0.7312498863279424,0.856321968130942,0.8705400642317117
148,0.20178640414699076,0.9470003062540341,0.19109178652510053,-0.2879189345794348,0.18599587027959721,0.9052676679518163,0.9350583273971848,0.933359794970108
149,0.04077185521524547,0.9163939988112244,0.03736308343965107,-0.02482853865467408,-0.0009393508152720263,0.33011169972105353,0.5130922627095637,0.6602565840117988
150,0.02070694999529707,0.9815661860700822,0.02032524193202765,-0.012499860946627457,-0.019358165165044426,0.39503236368393907,0.3982494792789013,0.6833890650164971
151,0.10261906794449946,0.8946467283284331,0.09180781340065962,-0.06681849034544077,0.038991940340378686,0.2483997059050385,0.6490349043096173,0.699756849376822
152,0.16114364393943356,0.9473345502128105,0.15265694145101658,-0.22486488452173584,0.14434518272263588,0.8948331816437881,0.9127267673659438,0.9129736944483126
153,0.23398190576625674,0.9314081222349,0.21793264748669253,-0.2954684221650454,0.19711920981023218,0.7291407714906436,0.8856034962245904,0.8856997421399474
154,0.3386472183648952,0.8970309411871903,0.30377703302028586,-0.29202087561201584,0.19892897307208837,0.19065032395019366,0.7456050275068531,0.7364556501588957
155,0.1589793744272159,0.9477381113735304,0.15067081206699492,-0.22295361001415884,0.1403118848288166,0.8926651361516494,0.9161636518404658,0.9200605992345683
156,0.15809381768834896,0.9476492597906073,0.1498174893098351,-0.2224200060231569,0.13892840680291613,0.8974569292799579,0.9174130425337801,0.9251002043327772
157,0.06326081264999059,0.903457952297303,0.057153484257423816,-0.039761514005453476,0.017634860040202986,0.28233885783337975,0.5954218473870267,0.6854983779511469
158,0.14770611803628336,0.9391164469299111,0.1387132447600445,-0.1902854891639766,0.12049315071238872,0.7958541475522565,0.8718821293454257,0.8815515418682759
159,0.2402552689787441,0.930551619543444,0.22356992965201608,-0.3003681167472371,0.21080366352995986,0.7352865255415865,0.8808868846335193,0.8782856183126128
160,0.06407405256323315,0.9040965107816145,0.05792912735405686,-0.040421792109398766,0.01884489128775736,0.2835694893177781,0.5978195728000472,0.6808398466520383
161,0.019073354812226002,0.9797356526897611,0.01868684572593964,-0.011089627763726522,-0.018086247161027868,0.4353804262380196,0.33456012092062937,0.6509876892785977
162,0.02526957961676699,0.9672551678371026,0.02444213147338898,-0.01729613396292021,-0.01752371913079321,0.46148601229626623,0.36669631016044774,0.4663968681188801
163,0.06891991128084492,0.9202366408436253,0.06342262764432541,-0.04761068467074943,0.009600826323748798,0.24504678820721845,0.6558029815964863,0.7142818811811129
164,0.21933312243832143,0.9387271233885419,0.20589395109035233,-0.29151519070834303,0.19527801063930778,0.7935369834106654,0.9032833063215804,0.8969922981964848
165,0.06839815206690743,0.9195272364179892,0.06289396374618077,-0.04639001954342012,0.012363755810101299,0.24735514772218437,0.6619255905666677,0.7209949271621341
166,0.20680954899711299,0.9467577901711095,0.19579855159479048,-0.2915966953284826,0.18784804553654547,0.8992970506077688,0.9286035590348953,0.917565037009595
167,0.017306702431985288,0.9730400506789286,0.016840114611504104,-0.009896824868987008,-0.022759900125956814,0.5254964066615235,0.20545132782716236,0.5328113309540821
168,0.11167438708299285,0.9412981446106488,0.10511889336175256,-0.14066259194924596,0.0835452753392916,0.7758428121661016,0.8481747342425986,0.8722973222142041
169,0.1433448866068324,0.9418203034721242,0.13500512460522412,-0.18576581541303638,0.11319690711102078,0.7619284571814887,0.8794345054019383,0.8886829505472065
170,0.3774199805179942,0.8938430028040484,0.3373542087044494,-0.31804138176532604,0.24866977506950594,0.19833353888569813,0.7410142324496299,0.7276068649017364
171,0.1115317751975863,0.9403207582077714,0.10487564341805306,-0.14079692982925543,0.08274894854676759,0.7900761655244282,0.8458328568015416,0.8735194451004854
172,0.12981810585872894,0.9496893548391945,0.12328687319942253,-0.1799849376328447,0.10411663302727002,0.8633449953985578,0.9016946995099452,0.9161185106147709
173,0.044003214593988496,0.9236686676719797,0.04064439059731357,-0.028253030243807205,-0.0037916712776839647,0.30831757040788416,0.5493586775088477,0.667914590630386
174,0.15875301245349582,0.9330334807600219,0.1481218757906243,-0.19436407065980751,0.12911715080958536,0.7194893995059891,0.8584225703491791,0.869684368042258
175,0.2137358320839276,0.9415592147476937,0.20124494222038777,-0.2932098682326776,0.19902126526981145,0.8614554083699949,0.9187091260340307,0.9188590604141292
