variant,selector,metric,estimate,ci_lower,ci_upper
patch_high_frequency_without_base_subtraction,all_12_regions,signed_primary_error_reduction_ratio,-0.36597007477693716,-0.5846845685808006,-0.22621529508767124
patch_high_frequency_without_base_subtraction,all_12_regions,signed_absrel_error_reduction_ratio,-0.3104460900275245,-0.43965230726614263,-0.204780874123081
patch_high_frequency_without_base_subtraction,all_12_regions,harmful_selection_rate,0.7629166666666667,0.73875,0.7845833333333333
patch_high_frequency_without_base_subtraction,all_12_regions,oracle_regret_ratio,54.17297130090462,28.93613692230079,143.64968354220832
patch_high_frequency_without_base_subtraction,all_12_regions,actual_selection_count,12.0,12.0,12.0
patch_high_frequency_without_base_subtraction,all_12_regions,positive_utility_capture,1.0,1.0,1.0
rgb_guided_bilateral_sharpening,rgb_base_rank_combination_topk,signed_primary_error_reduction_ratio,-0.0059482205066128556,-0.008607739208071456,-0.0032639510808856725
rgb_guided_bilateral_sharpening,rgb_base_rank_combination_topk,signed_absrel_error_reduction_ratio,-0.005653249582546479,-0.009257737257805721,-0.0021210393049493283
rgb_guided_bilateral_sharpening,rgb_base_rank_combination_topk,harmful_selection_rate,0.89,0.8533333333333334,0.9216666666666666
rgb_guided_bilateral_sharpening,rgb_base_rank_combination_topk,oracle_regret_ratio,51.59119223914671,23.45955702676527,517.7033591696811
rgb_guided_bilateral_sharpening,rgb_base_rank_combination_topk,actual_selection_count,3.0,3.0,3.0
rgb_guided_bilateral_sharpening,rgb_base_rank_combination_topk,positive_utility_capture,0.11489777008605014,0.04292350399291006,0.3561652926672968
rgb_guided_bilateral_sharpening,oracle_at_most_k_positive,signed_primary_error_reduction_ratio,0.00011757423067824465,1.200784405226385e-05,0.0002612662348080694
rgb_guided_bilateral_sharpening,oracle_at_most_k_positive,signed_absrel_error_reduction_ratio,6.697667210839573e-05,7.73641154479721e-06,0.0001454333171249601
rgb_guided_bilateral_sharpening,oracle_at_most_k_positive,harmful_selection_rate,0.0,0.0,0.0
rgb_guided_bilateral_sharpening,oracle_at_most_k_positive,oracle_regret_ratio,0.0,0.0,0.0
rgb_guided_bilateral_sharpening,oracle_at_most_k_positive,actual_selection_count,1.61,1.46,1.78
rgb_guided_bilateral_sharpening,oracle_at_most_k_positive,positive_utility_capture,0.9847235522610707,0.9333339230530684,0.9885166223079234
rgb_guided_bilateral_sharpening,all_12_regions,signed_primary_error_reduction_ratio,-0.00879371680978577,-0.012834671280326676,-0.004777423728255301
rgb_guided_bilateral_sharpening,all_12_regions,signed_absrel_error_reduction_ratio,-0.00842899602854651,-0.013639427552359576,-0.0032267736537307775
rgb_guided_bilateral_sharpening,all_12_regions,harmful_selection_rate,0.82375,0.7945833333333333,0.8475
rgb_guided_bilateral_sharpening,all_12_regions,oracle_regret_ratio,74.65032290287759,34.701888335046775,707.1762497410758
rgb_guided_bilateral_sharpening,all_12_regions,actual_selection_count,12.0,12.0,12.0
rgb_guided_bilateral_sharpening,all_12_regions,positive_utility_capture,1.0,1.0,1.0
