method,budget_count,metric,estimate,ci_lower,ci_upper
rgb_base_rank_combination_topk,3,positive_utility_capture,0.7230185711500551,0.5686671174771856,0.846542716109106
oracle_at_most_k_positive,3,signed_primary_error_reduction_ratio,0.09659965683382109,0.06582805469489891,0.1244957769485321
oracle_at_most_k_positive,3,signed_absrel_error_reduction_ratio,0.09716368941028768,0.05546062598610917,0.13293497533244145
oracle_at_most_k_positive,3,harmful_selection_rate,0.0,0.0,0.0
oracle_at_most_k_positive,3,oracle_regret_ratio,0.0,0.0,0.0
oracle_at_most_k_positive,3,actual_selection_count,2.96,2.925,2.99
oracle_at_most_k_positive,3,positive_utility_capture,0.9271902677789703,0.8829079367261399,0.9750430809793884
random_topk_100_seeds,6,signed_primary_error_reduction_ratio,0.044926408032184034,0.01855623367414818,0.07656358263307986
random_topk_100_seeds,6,signed_absrel_error_reduction_ratio,0.0476516031459852,0.0165170251694622,0.08265721259777814
random_topk_100_seeds,6,harmful_selection_rate,0.44015000000000004,0.3983333333333333,0.4825
random_topk_100_seeds,6,oracle_regret_ratio,0.5660455572023041,0.3373749574988515,0.7874253273632467
random_topk_100_seeds,6,actual_selection_count,6.0,6.0,6.0
random_topk_100_seeds,6,positive_utility_capture,0.5076669366381691,0.305261812195869,0.72774572947427
fixed_spatial_uniform_topk,6,signed_primary_error_reduction_ratio,0.041514110923893684,0.01748560877546955,0.06233172217300602
fixed_spatial_uniform_topk,6,signed_absrel_error_reduction_ratio,0.042023163775934624,0.016127602140678016,0.062435684673500476
fixed_spatial_uniform_topk,6,harmful_selection_rate,0.44,0.4025,0.47833333333333333
fixed_spatial_uniform_topk,6,oracle_regret_ratio,0.5990057148278046,0.4827269791533379,0.7849102152804379
fixed_spatial_uniform_topk,6,actual_selection_count,6.0,6.0,6.0
fixed_spatial_uniform_topk,6,positive_utility_capture,0.47853780319623324,0.3634538082197296,0.575060314134583
rgb_gradient_topk,6,signed_primary_error_reduction_ratio,0.07480499571945964,0.038461105448736654,0.10574431993140254
rgb_gradient_topk,6,signed_absrel_error_reduction_ratio,0.08136646254839724,0.0346770939157797,0.1219259647339015
