sample_index,scan_id,image_relpath,global_thresholded_gradient_density,region_id,boosting_gradient_density_ratio,passes_official_density_threshold,selected_exact_k,selected_at_most_k_official_threshold,primary_utility_sum,absrel_utility_sum
2,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,0.12878083566703047,4,1.9848948313631327,True,True,True,26.408296789551954,22.96815522908974
2,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,0.12878083566703047,5,1.8505171071778297,True,True,True,-54.317796154386336,-75.5812027392391
2,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,0.12878083566703047,6,1.7981668744155908,True,True,True,-16.042779313809696,-3.6268227460286404
2,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,0.12878083566703047,7,1.541496640882161,True,False,False,-78.3987109140549,92.0477792218746
2,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,0.12878083566703047,8,1.0708280273058501,True,False,False,-64.08934735273536,-1204.6012434583045
2,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,0.12878083566703047,9,0.9894837139233101,False,False,False,1136.5920572943417,68.81890557842335
2,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,0.12878083566703047,10,1.060006397644052,True,False,False,1918.544649538666,991.2673605986963
2,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,0.12878083566703047,11,0.7765425528572372,False,False,False,1671.4392069611708,1069.1764213414303
3,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,0.05310210907181884,0,1.5990330414691878,True,True,True,-805.1062286762369,97.36067887082899
3,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,0.05310210907181884,1,1.455060737085859,True,True,True,-506.5747542021948,121.699808437608
