sample_index,domain,scene_id,scan_id,image_relpath,input_size,status,target_height,target_width,valid_pixel_count,boundary_pixel_count,weight_sum,base_primary_error_sum,primary_error_sum,primary_utility_sum,base_absrel_error_sum,absrel_error_sum,absrel_utility_sum,metric_scale,forward_milliseconds
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,518,OK,518,686,786330,78633,1100862.0,263486.1422873223,263486.1422873223,0.0,171953.34478877822,171953.34478877822,0.0,0.05394610612827464,3787.878295406699
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,574,OK,574,770,786330,78633,1100862.0,263486.1422873223,264703.9984188301,-1217.8561315077823,171953.34478877822,172260.50398902275,-307.159200244525,0.05308700720821734,578.3217763528228
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,630,OK,630,840,786330,78633,1100862.0,263486.1422873223,257382.16345101304,6103.978836309281,171953.34478877822,166677.8689080699,5275.475880708313,0.05237156360297129,55.647535249590874
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,686,OK,686,910,786330,78633,1100862.0,263486.1422873223,274140.8979571358,-10654.755669813487,171953.34478877822,179203.69039663184,-7250.345607853611,0.05372943490750247,800.9824091568589
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,742,OK,742,994,786330,78633,1100862.0,263486.1422873223,274460.611349587,-10974.46906226466,171953.34478877822,179726.90260952257,-7773.557820744347,0.05294223078181181,676.8240965902805
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,798,OK,798,1064,786330,78633,1100862.0,263486.1422873223,270728.2318691851,-7242.0895818627905,171953.34478877822,175129.08614901197,-3175.7413602337474,0.05143199554311952,63.930134288966656
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,854,OK,854,1134,786330,78633,1100862.0,263486.1422873223,271444.514265443,-7958.371978120704,171953.34478877822,176592.91717649065,-4639.572387712426,0.05294547625212021,645.651844330132
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,910,OK,910,1218,786330,78633,1100862.0,263486.1422873223,272886.08831461327,-9399.94602729095,171953.34478877822,177637.11539953103,-5683.7706107528065,0.050460464509486415,719.5089031010866
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,966,OK,966,1288,786330,78633,1100862.0,263486.1422873223,267365.0720330737,-3878.929745751375,171953.34478877822,172757.94821237563,-804.6034235974075,0.048892256671732554,675.190020352602
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1022,OK,1022,1358,786330,78633,1100862.0,263486.1422873223,273932.81221738586,-10446.669930063537,171953.34478877822,176634.82136183715,-4681.476573058928,0.051218633035561706,645.0084364041686
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1078,OK,1078,1442,786330,78633,1100862.0,263486.1422873223,261980.77645583026,1505.3658314920613,171953.34478877822,170184.92170971623,1768.4230790619913,0.04956667348624863,180.33583741635084
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1134,OK,1134,1512,786330,78633,1100862.0,263486.1422873223,270740.0671917586,-7253.9249044362805,171953.34478877822,174811.92243800612,-2858.5776492278965,0.0484367960041095,767.6102640107274
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1190,OK,1190,1582,786330,78633,1100862.0,263486.1422873223,274589.0330320554,-11102.8907447331,171953.34478877822,177113.62026940915,-5160.275480630924,0.04850451375978691,681.9199798628688
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1246,OK,1246,1666,786330,78633,1100862.0,263486.1422873223,274052.66473846254,-10566.52245114022,171953.34478877822,177390.68901092187,-5437.344222143642,0.04715555160425269,1004.2914412915707
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1302,OK,1302,1736,786330,78633,1100862.0,263486.1422873223,268741.7492970898,-5255.6070097674965,171953.34478877822,173710.42146197357,-1757.0766731953481,0.04766951432763325,692.1209935098886
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1358,OK,1358,1806,786330,78633,1100862.0,263486.1422873223,281712.55321550294,-18226.410928180616,171953.34478877822,183685.1231003286,-11731.778311550384,0.047024046512331184,643.6980990692973
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1414,OK,1414,1890,786330,78633,1100862.0,263486.1422873223,276638.77160805545,-13152.629320733133,171953.34478877822,179429.32559310278,-7475.9808043245575,0.046141767917134625,665.7584151253104
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1470,OK,1470,1960,786330,78633,1100862.0,263486.1422873223,277384.7700189251,-13898.627731602755,171953.34478877822,180319.59044512187,-8366.245656343643,0.04556590441335276,673.9024110138416
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1526,OK,1526,2030,786330,78633,1100862.0,263486.1422873223,287895.45379183214,-24409.311504509824,171953.34478877822,187838.27724942495,-15884.932460646727,0.04537320123887423,1134.2203672975302
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1582,OK,1582,2114,786330,78633,1100862.0,263486.1422873223,282747.1594359143,-19261.017148591985,171953.34478877822,184731.82211448532,-12778.477325707092,0.04442805133633962,944.8730545118451
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1638,OK,1638,2184,786330,78633,1100862.0,263486.1422873223,296138.1782152909,-32652.035927968565,171953.34478877822,193957.72537850053,-22004.380589722306,0.04347412584236014,994.7796268388629
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1694,OK,1694,2254,786330,78633,1100862.0,263486.1422873223,285783.51553972793,-22297.37325240561,171953.34478877822,188488.66529111768,-16535.320502339455,0.04309961604752508,1452.6607859879732
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1750,OK,1750,2338,786330,78633,1100862.0,263486.1422873223,287603.3081648284,-24117.16587750608,171953.34478877822,190981.114104504,-19027.769315725775,0.04183681961591913,1473.736397922039
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1806,OK,1806,2408,786330,78633,1100862.0,263486.1422873223,287464.74652649154,-23978.604239169217,171953.34478877822,190508.20645168342,-18554.861662905198,0.041726928096490076,2571.369298733771
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1862,OK,1862,2478,786330,78633,1100862.0,263486.1422873223,286613.85771150875,-23127.715424186434,171953.34478877822,191643.41391925252,-19690.069130474294,0.039776838021327435,2178.3513259142637
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1918,OK,1918,2562,786330,78633,1100862.0,263486.1422873223,286655.6634073773,-23169.521120054997,171953.34478877822,191734.0135993865,-19780.668810608273,0.03947184787540403,2290.2488317340612
