family,metric,row_count,median,q25,q75,p95,point,ci_lower,ci_upper,cluster_count,bootstrap_replicates,maximum_leave_one_cluster_out_influence
semantic_preserving,target_pixel_mass,300,0.08550387261831509,0.02266709183143164,0.15938632531464997,0.33732314139552766,0.10716135685165983,0.08706400477388479,0.1279775792292748,59,10000,0.003958658583719049
semantic_preserving,clean_region_abs_rel,300,0.0427438674810168,0.029390381445677755,0.062213189146104214,0.11765382002455597,0.05270777891991527,0.04491896440752775,0.06153727397835506,59,10000,0.0025956218416567783
semantic_preserving,absolute_region_abs_rel_degradation,300,0.0,0.0,0.0024353814288909093,0.008095544044548429,0.001155877771651461,0.0005863484001978275,0.0017841059748923897,59,10000,0.00014870720361250217
semantic_preserving,relative_region_abs_rel_degradation,300,0.0,0.0,0.049313612861180585,0.19590683246946655,0.02644129316996202,0.012109457747188471,0.0424829944750036,59,10000,0.004032485156817492
semantic_preserving,full_image_abs_rel_degradation,300,0.0,0.0,0.001023125520715147,0.004176850056072336,0.0004367337922544365,0.00010306618868436797,0.000787931002954625,59,10000,7.592372745813717e-05
target_deletion,target_pixel_mass,300,0.08550387261831509,0.02266709183143164,0.15938632531464997,0.33732314139552766,0.10716135685165983,0.08729440577001187,0.1279949785157853,59,10000,0.003958658583719049
target_deletion,clean_region_abs_rel,300,0.0427438674810168,0.029390381445677755,0.062213189146104214,0.11765382002455597,0.05270777891991527,0.045018525080769346,0.061365240584664534,59,10000,0.0025956218416567783
target_deletion,absolute_region_abs_rel_degradation,300,2.662971068072631e-05,-0.0024620181309536852,0.0028707492571687816,0.00905030305449244,5.524655064743698e-05,-0.001178384645347262,0.0011259300740177646,59,10000,0.0004009244075509638
target_deletion,relative_region_abs_rel_degradation,300,0.000727140243434225,-0.06222854837373537,0.06660128935232544,0.21995581326585115,0.009778140396282907,-0.009042317706241771,0.02841875743903291,59,10000,0.003555083137644008
target_deletion,full_image_abs_rel_degradation,300,2.8484129451548934e-05,-0.0012001769545311562,0.0017508987836257588,0.004382000183033424,0.0002667857093037881,-0.0001946765298226249,0.0007190117076798741,59,10000,9.989436389686853e-05
local_entity_conflict,target_pixel_mass,300,0.08550387261831509,0.02266709183143164,0.15938632531464997,0.33732314139552766,0.10716135685165983,0.08706331789004534,0.1281343330828681,59,10000,0.003958658583719049
local_entity_conflict,clean_region_abs_rel,300,0.0427438674810168,0.029390381445677755,0.062213189146104214,0.11765382002455597,0.05270777891991527,0.04501277130992556,0.061842881689566205,59,10000,0.0025956218416567783
local_entity_conflict,absolute_region_abs_rel_degradation,300,0.001685667246135768,-0.0016642479844436817,0.005044166055078353,0.01213587605894368,0.0016197795191952294,0.00020168302470266873,0.002931428665318791,59,10000,0.0003665570361234263
local_entity_conflict,relative_region_abs_rel_degradation,300,0.035126954702824426,-0.03168795751776125,0.1238560755176702,0.36825344809766086,0.060851934112274485,0.02623472883396374,0.09389278678288926,59,10000,0.00849157526975846
local_entity_conflict,full_image_abs_rel_degradation,300,0.0008540727503868611,-0.0012123335942674993,0.0028015771256398505,0.006581618776146342,0.0003518893559995754,-0.00048524684070789766,0.0011320979107665133,59,10000,0.00022736009295491733
depth_relation_conflict,target_pixel_mass,300,0.08550387261831509,0.02266709183143164,0.15938632531464997,0.33732314139552766,0.10716135685165983,0.0870285914809472,0.12795538371869727,59,10000,0.003958658583719049
depth_relation_conflict,clean_region_abs_rel,300,0.0427438674810168,0.029390381445677755,0.062213189146104214,0.11765382002455597,0.05270777891991527,0.04482154830082293,0.06133714594237047,59,10000,0.0025956218416567783
depth_relation_conflict,absolute_region_abs_rel_degradation,300,0.0003248433174881729,-0.0008557635319881175,0.002341950543294306,0.007228758023564048,0.0008059503388559494,0.0003468302627959179,0.001299386319591481,59,10000,0.00012781423133700637
depth_relation_conflict,relative_region_abs_rel_degradation,300,0.00931532527564103,-0.020411936642207803,0.058016467845696,0.14276889168754123,0.019425004364526856,0.008359001499349657,0.031056437910099325,59,10000,0.0028451482006313714
depth_relation_conflict,full_image_abs_rel_degradation,300,0.00021430151968318024,-0.0005127048721182449,0.0011055682423266374,0.002748910064503697,0.0002845893067633765,2.839935902646931e-05,0.0005420718713043779,59,10000,4.351730913042186e-05
