schema_version,run_mode,authorization_scope,status,dataset,input_manifest_sha256,implementation_sha256,split_audit_sha256,rgb_identity_sha256,annotation_provenance_sha256,depth_provenance_sha256,image_count,cluster_count,scene_count,annotation_available_image_count,depth_available_image_count,entity_count,eligible_target_count,eligible_image_count,eligible_image_fraction,pair_candidate_count,eligible_pair_count,images_with_eligible_pair,scenes_with_eligible_pair,independent_clusters_with_eligible_pair,minimum_mask_area_pixels,minimum_valid_depth_pixels,minimum_relative_median_depth_gap,minimum_eligible_images,minimum_eligible_pairs,minimum_images_with_eligible_pair,minimum_independent_clusters_with_eligible_pair,relative_gap_definition,image_gate_pass,pair_gate_pass,gate_pass,fallback_resolved,structured_requirement_pass,inferential_requirement_pass,evidence_role,decision,exclusion_counts_json
covol-annotation-coverage-v1,FORMAL,STEP003_ONLY_NOT_STEP005_OR_OFFICIAL_TEST,FAIL,KITTI,df03c3c8d2a1e1334ec51f8c54f039b7100e721ff9908cb4a059eadc2a92b998,1cbfb0daf0575e9bddb9b5e3eccbe180bf0d1ee05dc7b6a6d8615bda183f2d1a,78e5f1eff5ec5c64c0e1dde716f1dd40cdf308d9ead29885fdc35bc3904755b3,53dc5de4779584ba1992893f4e3f6c5cae60a9d686d2d68d4eb83585c9e19e93,ae50396e2bdc3f0efc1b94fef0019f7b02299b5cd53726f6afc3862b2a057d8f,ae50396e2bdc3f0efc1b94fef0019f7b02299b5cd53726f6afc3862b2a057d8f,500,30,30,0,0,0,0,0,0.0,0,0,0,0,0,32,32,0.1,150,300,150,20,"abs(depth_a-depth_b)/max(depth_a,depth_b)",False,False,False,False,False,False,candidate_inferential_local_dataset,STOP_INSUFFICIENT_LOCAL_ANNOTATION_COVERAGE,{}
covol-annotation-coverage-v1,FORMAL,STEP003_ONLY_NOT_STEP005_OR_OFFICIAL_TEST,PASS,NYUv2,df03c3c8d2a1e1334ec51f8c54f039b7100e721ff9908cb4a059eadc2a92b998,1cbfb0daf0575e9bddb9b5e3eccbe180bf0d1ee05dc7b6a6d8615bda183f2d1a,78e5f1eff5ec5c64c0e1dde716f1dd40cdf308d9ead29885fdc35bc3904755b3,51f7a2b41f8c1d3334cd4ec506db5b50eca723185572f4cc5f62dcf3c9b8ab3f,3b12b95de535118cc5208ff40d2253aeeabcdafb26a84acdb702e4fe1518e507,3b12b95de535118cc5208ff40d2253aeeabcdafb26a84acdb702e4fe1518e507,500,156,156,500,500,12299,11138,500,1.0,140410,105779,500,156,156,32,32,0.1,150,300,150,20,"abs(depth_a-depth_b)/max(depth_a,depth_b)",True,True,True,False,True,True,candidate_inferential_local_dataset,GO_LOCAL_STRUCTURED_INTERVENTIONS,"{""mask_area_below_threshold"":549,""pair_depth_gap_below_threshold"":34631,""valid_depth_below_threshold"":1161}"
