family,f1,auroc,precision,recall,accuracy,character_length_mean,token_count_mean,token_edit_distance_from_clean_mean,exceeds_f1_threshold
semantic_preserving,0.2853067047075607,0.5174962962962963,0.24937655860349128,0.3333333333333333,0.5825,72.88,12.956666666666667,5.983333333333333,False
target_deletion,1.0,1.0,1.0,1.0,1.0,35.586666666666666,6.193333333333333,7.43,True
local_entity_conflict,0.6622516556291391,0.7037037037037037,0.6578947368421053,0.6666666666666666,0.83,69.47,12.5,4.386666666666667,True
depth_relation_conflict,0.0024968789013732834,0.18518518518518517,0.001996007984031936,0.0033333333333333335,0.33416666666666667,69.88,12.623333333333333,4.303333333333334,False
