dataset,image_id,cluster_id,error_type,variant_id,template_id,full_clean_abs_rel,full_variant_abs_rel,full_abs_rel_degradation,full_clean_d1,full_variant_d1,full_d1_degradation,region_clean_abs_rel,region_variant_abs_rel,region_abs_rel_degradation,region_clean_d1,region_variant_d1,region_d1_degradation,full_valid_pixel_count,region_valid_pixel_count
NYUv2,nyuv2_labeled_0045,706f49ecb5ea00229083f74184d38c7296f9c4c048d34d2131edc3ee586ec828,depth_relation_conflict,0,depth_relation_conflict-v0,0.03291441461383069,0.040153066602504964,0.007238651988674273,0.9976751539048115,0.9976426060594789,3.254784533268662e-05,0.20325384573600844,0.20588663628987938,0.002632790553870945,0.8014705882352942,0.8063725490196079,-0.004901960784313708,215068,816
NYUv2,nyuv2_labeled_0045,706f49ecb5ea00229083f74184d38c7296f9c4c048d34d2131edc3ee586ec828,depth_relation_conflict,1,depth_relation_conflict-v1,0.03291441461383069,0.031135075776715697,-0.0017793388371149937,0.9976751539048115,0.99765655513605,1.859876876153521e-05,0.20325384573600844,0.19857288321899524,-0.004680962517013193,0.8014705882352942,0.8063725490196079,-0.004901960784313708,215068,816
NYUv2,nyuv2_labeled_0045,706f49ecb5ea00229083f74184d38c7296f9c4c048d34d2131edc3ee586ec828,depth_relation_conflict,2,depth_relation_conflict-v2,0.03291441461383069,0.03213945707719484,-0.0007749575366358535,0.9976751539048115,0.997693752673573,-1.859876876142419e-05,0.20325384573600844,0.20072585627787565,-0.00252798945813279,0.8014705882352942,0.8063725490196079,-0.004901960784313708,215068,816
NYUv2,nyuv2_labeled_0045,706f49ecb5ea00229083f74184d38c7296f9c4c048d34d2131edc3ee586ec828,local_entity_conflict,0,local_entity_conflict-v0,0.03291441461383069,0.033660097333860245,0.0007456827200295543,0.9976751539048115,0.997730950211096,-5.579630628449461e-05,0.20325384573600844,0.2230950620519022,0.01984121631589375,0.8014705882352942,0.7781862745098039,0.023284313725490224,215068,816
NYUv2,nyuv2_labeled_0045,706f49ecb5ea00229083f74184d38c7296f9c4c048d34d2131edc3ee586ec828,local_entity_conflict,1,local_entity_conflict-v1,0.03291441461383069,0.038371553145118406,0.0054571385312877155,0.9976751539048115,0.9975031152937676,0.00017203861104397866,0.20325384573600844,0.22054215325473847,0.017288307518730034,0.8014705882352942,0.7892156862745098,0.012254901960784381,215068,816
NYUv2,nyuv2_labeled_0045,706f49ecb5ea00229083f74184d38c7296f9c4c048d34d2131edc3ee586ec828,local_entity_conflict,2,local_entity_conflict-v2,0.03291441461383069,0.028997270374968152,-0.003917144238862538,0.9976751539048115,0.9976333066750981,4.1847229713454226e-05,0.20325384573600844,0.21275859985680234,0.009504754120793907,0.8014705882352942,0.7965686274509803,0.004901960784313819,215068,816
NYUv2,nyuv2_labeled_0045,706f49ecb5ea00229083f74184d38c7296f9c4c048d34d2131edc3ee586ec828,semantic_preserving,0,semantic_preserving-v0,0.03291441461383069,0.03291441461383069,0.0,0.9976751539048115,0.9976751539048115,0.0,0.20325384573600844,0.20325384573600844,0.0,0.8014705882352942,0.8014705882352942,0.0,215068,816
NYUv2,nyuv2_labeled_0045,706f49ecb5ea00229083f74184d38c7296f9c4c048d34d2131edc3ee586ec828,semantic_preserving,1,semantic_preserving-v1,0.03291441461383069,0.0418744305724396,0.00896001595860891,0.9976751539048115,0.9975961091375751,7.904476723641363e-05,0.20325384573600844,0.2110187413340167,0.007764895598008276,0.8014705882352942,0.7928921568627451,0.0085784313725491,215068,816
NYUv2,nyuv2_labeled_0045,706f49ecb5ea00229083f74184d38c7296f9c4c048d34d2131edc3ee586ec828,semantic_preserving,2,semantic_preserving-v2,0.03291441461383069,0.03847532860970095,0.005560913995870262,0.9976751539048115,0.9977077017501441,-3.25478453325756e-05,0.20325384573600844,0.20114228359980638,-0.002111562136202061,0.8014705882352942,0.8063725490196079,-0.004901960784313708,215068,816
NYUv2,nyuv2_labeled_0045,706f49ecb5ea00229083f74184d38c7296f9c4c048d34d2131edc3ee586ec828,target_deletion,0,target_deletion-v0,0.03291441461383069,0.031328241516488074,-0.0015861730973426164,0.9976751539048115,0.9977448992876672,-6.974538285564602e-05,0.20325384573600844,0.20331715584699486,6.331011098642536e-05,0.8014705882352942,0.7977941176470589,0.003676470588235281,215068,816
